RepRapFirmware height map file v2 generated at 2020-05-09 23:17, min error 0.301, max error 0.363, mean 0.327, deviation 0.015
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
20.00,240.00,25.00,235.00,-1.00,50.00,50.00,5,5
  0.344,  0.334,  0.317,  0.319,  0.325
  0.347,  0.344,  0.326,  0.330,  0.330
  0.356,  0.324,  0.319,  0.312,  0.301
  0.363,  0.343,  0.329,  0.319,  0.317
  0.329,  0.319,  0.317,  0.309,  0.308
